,state,Education,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,stockgrantvalue,bonus,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Year
0,AL,Bachelor's Degree,130125.0,4.625,1.875,113000.0,8750.0,8500.0,9335.125,661.375,66170.5,0.0,1.0,0.0,0.0,0.0,0.0,0.625,0.0,0.25,0.0,2020.875
1,AL,Highschool,136000.0,1.0,1.0,110000.0,15000.0,11000.0,6845.0,630.0,66723.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
2,AL,Master's Degree,135400.0,8.6,2.8,115800.0,7400.0,12400.0,5491.6,665.6,56142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,2020.8
3,AL,PhD,171500.0,13.0,1.0,155000.0,15000.0,500.0,6879.0,691.0,66336.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021.0
4,AL,Some College,152000.0,11.0,2.0,137000.0,0.0,15000.0,6845.0,630.0,57756.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0
5,AR,Bachelor's Degree,163800.0,7.133333333333334,4.066666666666666,111866.66666666667,29733.333333333332,22333.333333333332,7656.6,625.3333333333334,54154.4,0.0,1.0,0.0,0.0,0.0,0.4,0.5333333333333333,0.0,0.06666666666666667,0.0,2020.4666666666667
6,AR,Highschool,87500.0,2.5,2.0,77500.0,2500.0,7500.0,15999.0,702.0,50808.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.5
7,AR,Master's Degree,144794.87179487178,6.487179487179487,2.3076923076923075,105282.05128205128,18307.69230769231,21384.615384615383,7293.794871794872,635.6410256410256,46348.8717948718,1.0,0.0,0.0,0.0,0.0,0.5128205128205128,0.05128205128205128,0.0,0.0,0.0,2020.3076923076924
8,AR,PhD,376000.0,4.0,4.0,160000.0,165000.0,50000.0,12962.0,0.0,50307.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.0
9,AZ,Bachelor's Degree,121528.08988764045,5.314606741573034,2.7191011235955056,99853.93258426966,10955.056179775282,10797.752808988764,7040.4157303370785,755.8314606741573,59023.651685393255,0.0,1.0,0.0,0.0,0.0,0.1797752808988764,0.5280898876404494,0.07865168539325842,0.0449438202247191,0.011235955056179775,2020.629213483146
10,AZ,Highschool,204500.0,11.25,1.75,147750.0,27750.0,29500.0,7042.0,753.0,64094.25,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.25,2021.0
11,AZ,Master's Degree,155808.08080808082,7.151515151515151,3.515151515151515,117363.63636363637,25282.828282828283,13181.818181818182,7705.969696969697,753.7272727272727,52936.32323232323,1.0,0.0,0.0,0.0,0.0,0.41414141414141414,0.16161616161616163,0.020202020202020204,0.010101010101010102,0.020202020202020204,2020.5050505050506
12,AZ,PhD,157444.44444444444,5.222222222222222,2.4444444444444446,129333.33333333333,15444.444444444445,12666.666666666666,7024.777777777777,757.0,48187.22222222222,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,2020.4444444444443
13,AZ,Some College,225000.0,8.4,2.0,148000.0,49000.0,28000.0,10278.6,753.0,49869.2,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.2,0.0,0.0,2020.2
14,CA,Bachelor's Degree,242947.08146247594,6.5394483643361125,2.426234765875561,159592.04618345093,62829.78351507377,19861.770365618988,7555.496792815908,807.4775497113534,56529.68665811417,0.0,1.0,0.0,0.0,0.0,0.40987812700449006,0.3171905067350866,0.05099422706863374,0.026619627966645285,0.05388069275176395,2020.5612572161642
15,CA,Highschool,248197.36842105264,7.447368421052632,2.4473684210526314,172736.84210526315,55394.73684210526,20052.63157894737,7817.263157894737,808.1578947368421,59542.84210526316,0.0,0.0,0.0,1.0,0.0,0.21052631578947367,0.5657894736842105,0.06578947368421052,0.013157894736842105,0.06578947368421052,2020.6447368421052
16,CA,Master's Degree,268568.02604523645,7.419551062371488,2.6544294037011653,169620.97326936258,73261.07059629883,23365.147361206306,7726.913125428376,808.1675805346127,47042.16620973269,1.0,0.0,0.008567511994516792,0.0,0.0,0.42323509252912955,0.08755997258396161,0.013708019191226868,0.008396161754626456,0.01439342015078821,2020.3510966415354
17,CA,PhD,331811.5606936416,6.409248554913295,2.5601156069364164,190472.8323699422,110268.20809248555,31124.85549132948,7484.1872832369945,807.7052023121387,45361.604624277454,0.0,0.0,1.0,0.0,0.0,0.30289017341040464,0.17803468208092485,0.013872832369942197,0.005780346820809248,0.021965317919075144,2020.293641618497
18,CA,Some College,274845.2380952381,8.952380952380953,2.9285714285714284,170333.33333333334,82738.09523809524,21988.095238095237,7346.833333333333,807.7738095238095,54299.892857142855,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.6785714285714286,0.047619047619047616,0.03571428571428571,0.08333333333333333,2020.452380952381
19,CO,Bachelor's Degree,169000.0,6.213793103448276,2.4827586206896552,124027.58620689655,33282.75862068965,11793.103448275862,7711.958620689656,751.0344827586207,58249.213793103445,0.0,1.0,0.0,0.0,0.0,0.0896551724137931,0.6896551724137931,0.06206896551724138,0.006896551724137931,0.04827586206896552,2020.606896551724
20,CO,Highschool,256000.0,9.0,2.0,154000.0,82000.0,21000.0,7541.0,751.0,67950.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
21,CO,Master's Degree,209429.90654205607,8.261682242990654,3.2850467289719627,142383.17757009345,40722.47663551402,14112.14953271028,8533.44859813084,729.9626168224299,46123.27102803739,1.0,0.0,0.009345794392523364,0.0,0.0,0.2803738317757009,0.2616822429906542,0.009345794392523364,0.0,0.009345794392523364,2020.3177570093458
22,CO,PhD,291200.0,12.6,4.6,160400.0,89800.0,41000.0,7542.2,751.0,37670.8,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2020.2
23,CO,Some College,267428.5714285714,12.714285714285714,5.0,154142.85714285713,91142.85714285714,22714.285714285714,7550.0,751.0,54736.71428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,2020.5714285714287
24,CT,Bachelor's Degree,103837.83783783784,6.594594594594595,1.972972972972973,93459.45945945945,3189.189189189189,7432.4324324324325,6891.351351351352,323.5405405405405,58153.45945945946,0.0,1.0,0.0,0.0,0.0,0.21621621621621623,0.32432432432432434,0.05405405405405406,0.05405405405405406,0.13513513513513514,2020.6486486486488
25,CT,Highschool,112000.0,8.5,3.0,99500.0,5000.0,7500.0,3807.0,0.0,55841.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,2021.0
26,CT,Master's Degree,120279.06976744186,9.023255813953488,2.941860465116279,104790.69767441861,6790.697674418605,8837.209302325582,7763.7441860465115,332.93023255813955,53789.6976744186,1.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.3488372093023256,0.023255813953488372,0.0,0.06976744186046512,2020.5581395348838
27,CT,PhD,173200.0,7.8,3.2,143600.0,16800.0,12800.0,6863.6,407.2,46322.6,0.0,0.0,1.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,2020.2
28,CT,Some College,55000.0,6.0,4.0,50000.0,0.0,5000.0,3807.0,0.0,40354.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2020.0
29,DC,Bachelor's Degree,160788.8198757764,5.894409937888199,2.0434782608695654,127043.47826086957,19757.763975155278,13981.366459627328,40342.316770186335,501.4782608695652,55815.54037267081,0.0,1.0,0.0,0.0,0.0,0.20496894409937888,0.4782608695652174,0.031055900621118012,0.08695652173913043,0.055900621118012424,2020.5217391304348
30,DC,Master's Degree,193376.0,8.536,2.656,151032.0,22224.0,20232.0,40319.88,506.912,50097.472,1.0,0.008,0.016,0.0,0.0,0.16,0.304,0.024,0.08,0.024,2020.512
31,DC,PhD,167000.0,5.714285714285714,2.7142857142857144,144714.2857142857,12142.857142857143,9857.142857142857,40303.0,511.0,49116.57142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,2020.2857142857142
32,DC,Some College,165750.0,11.25,5.75,118500.0,30500.0,16500.0,40830.5,383.25,82245.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.25,2021.0
33,DE,Bachelor's Degree,112727.27272727272,3.909090909090909,1.9090909090909092,102636.36363636363,2727.2727272727275,7090.909090909091,7666.454545454545,504.0,60701.818181818184,0.0,1.0,0.0,0.0,0.0,0.45454545454545453,0.36363636363636365,0.0,0.0,0.09090909090909091,2020.6363636363637
34,DE,Master's Degree,126769.23076923077,6.846153846153846,2.230769230769231,118153.84615384616,1538.4615384615386,6692.307692307692,7666.7692307692305,504.0,62393.846153846156,1.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.15384615384615385,0.0,0.0,0.0,2020.7692307692307
35,DE,PhD,170000.0,5.0,5.0,140000.0,0.0,30000.0,7667.0,504.0,53273.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
36,DE,Some College,88000.0,3.5,3.5,86000.0,0.0,2000.0,7665.5,504.0,74764.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,2021.0
37,FL,Bachelor's Degree,131232.87671232875,6.931506849315069,3.0684931506849313,108452.05479452055,12013.698630136987,10739.72602739726,10732.465753424658,533.013698630137,59071.260273972606,0.0,1.0,0.0,0.0,0.0,0.0821917808219178,0.3287671232876712,0.0273972602739726,0.0410958904109589,0.2876712328767123,2020.6164383561643
38,FL,Highschool,85000.0,4.0,2.5,76500.0,7500.0,1500.0,4527.5,533.5,71227.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
